Country/Other,Total Cases,New Cases,Total Deaths,New deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total cases/1M Pop,Deaths/1M POP,Total Tests,Tests/1M POP,Populations,Continents,%inc cases,%inc Deaths,%inc recovered
Venezuela,552695,-1.0,5856,-1.0,546537,-1.0,302,31,18885.0,200.0,3359014,114771,29266991,South America,-0.0001809316168953944,-0.01707650273224044,-0.0001829702289140534
Egypt,516023,-1.0,24613,-1.0,442182,-1.0,49228,122,4861.0,232.0,3693367,34792,106156692,Africa,-0.00019378981169444,-0.004062893592816804,-0.00022615122279966168
Qatar,514524,-1.0,690,-1.0,513687,-1.0,147,16,172664.0,232.0,4065369,1364257,2979915,Asia,-0.00019435439357542116,-0.14492753623188406,-0.00019467107401978248
Libya,507274,-1.0,6437,-1.0,500835,-1.0,2,-1,72048.0,914.0,2483848,352782,7040745,Africa,-0.0001971321218907336,-0.015535187199005747,-0.0001996665568500604
Ethiopia,501117,-1.0,7574,-1.0,488171,-1.0,5372,-1,4148.0,63.0,5565340,46066,120812698,Africa,-0.00019955419592630064,-0.013203063110641669,-0.00020484625264507726
Réunion,494595,-1.0,921,-1.0,0,0.0,0,0,544672.0,1014.0,1603660,1766027,908061,Africa,-0.00020218562662380332,-0.10857763300760044,
Honduras,474590,-1.0,11165,-1.0,0,0.0,0,0,46432.0,1092.0,1660662,162472,10221247,North America,-0.00021070819022735415,-0.008956560680698611,
Armenia,451426,-1.0,8776,-1.0,435162,-1.0,7488,-1,151895.0,2953.0,3242901,1091164,2971966,Asia,-0.00022152024916597627,-0.011394712853236098,-0.00022979947697639042
Bosnia and Herzegovina,403585,-1.0,16385,-1.0,379084,-1.0,8116,-1,124206.0,5043.0,1884721,580036,3249317,Europe,-0.0002477792782189625,-0.006103143118706134,-0.000263793776577223
Oman,399449,-1.0,4628,-1.0,0,0.0,0,-1,75028.0,869.0,25000000,4695724,5323993,Asia,-0.00025034485003091756,-0.021607605877268798,
